Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PCEF,27829F108,EXG ,"3,495,014","27,331,009.48",3.686,Eaton Vance Tax-Managed Global Diversified Equity Income Fun,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,72202D106,PCI ,"958,138","18,722,016.52",2.525,PIMCO Dynamic Credit and Mortgage Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,09251A104,BDJ ,"2,418,723","18,067,860.81",2.437,BlackRock Enhanced Equity Dividend Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,27828H105,EVV ,"1,529,340","17,969,745.00",2.424,Eaton Vance Ltd Duration Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,6706ER101,BXMX ,"1,357,150","15,837,940.50",2.136,Nuveen S&P 500 Buy-Write Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,01883A107,NFJ ,"1,271,699","15,654,614.69",2.111,AllianzGI Dividend Interest & Premium Strategy Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,27828N102,ETY ,"1,393,935","15,528,435.90",2.094,Eaton Vance Tax-Managed Diversified Equity Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,092508100,BTZ ,"1,079,972","15,022,410.52",2.026,BlackRock Credit Allocation Income Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,67072C105,JPS ,"1,621,874","14,580,647.26",1.966,Nuveen Preferred & Income Securities Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,003009107,FAX ,"3,634,358","14,392,057.68",1.941,Aberdeen Asia-Pacific Income Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,258622109,DSL ,"799,097","13,105,190.80",1.767,DoubleLine Income Solutions Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,09255P107,HYT ,"1,096,212","12,178,915.32",1.643,BlackRock Corporate High Yield Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,01879R106,AWF ,"1,133,645","12,016,637.00",1.621,AllianceBernstein Global High Income Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,67073D102,JQC ,"1,926,463","11,886,276.71",1.603,Nuveen Credit Strategies Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,43010E404,HFRO ,"1,344,896","11,660,248.32",1.573,Highland Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,95766A101,EMD ,"867,261","11,074,922.97",1.494,Western Asset Emerging Markets Debt Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,27829C105,ETW ,"1,229,779","10,809,757.41",1.458,Eaton Vance Tax Managed Global Buy Write Opportunities Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,33718W103,FPF ,"491,656","10,664,018.64",1.438,First Trust Intermediate Duration Preferred & Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,880198106,GIM ,"1,929,753","10,285,583.49",1.387,Templeton Global Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,95766R104,WIW ,"888,726","10,193,687.22",1.375,Western Asset Inflation-Linked Opportunities & Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,09248X100,BBN ,"384,420","9,852,684.60",1.329,BlackRock Taxable Municipal Bond Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
